Year,Residential,Commercial,LDV Transportation,Other Transportation,Industrial,Total
2020,1,1,1,1,1,5
2021,2,2,2,2,2,10
2022,3,3,3,3,3,15
2023,4,4,4,4,4,20
2024,5,5,5,5,5,25
2025,6,6,6,6,6,30
2026,7,7,7,7,7,35
2027,8,8,8,8,8,40
2028,9,9,9,9,9,45
2029,10,10,10,10,10,50
2030,11,11,11,11,11,55
2031,12,12,12,12,12,60
2032,13,13,13,13,13,65
2033,14,14,14,14,14,70
2034,15,15,15,15,15,75
2035,16,16,16,16,16,80
2036,17,17,17,17,17,85
2037,18,18,18,18,18,90
2038,19,19,19,19,19,95
2039,20,20,20,20,20,100
2040,21,21,21,21,21,105
2041,22,22,22,22,22,110
2042,23,23,23,23,23,115
2043,24,24,24,24,24,120
2044,25,25,25,25,25,125
2045,26,26,26,26,26,130
2046,27,27,27,27,27,135
2047,28,28,28,28,28,140
2048,29,29,29,29,29,145
2049,30,30,30,30,30,150
2050,31,31,31,31,31,155
